Order Customer Id,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,RFM_Score,RFM_Total_Score,Customer_Segmentation
63,1913,10,3680.29003912,2,2,2,222,6,Cant lose them
64,2385,7,2436.8200758999997,4,3,3,433,10,Loyal Customers
65,1959,19,6395.20002359,3,1,1,311,5,At Risk
66,2255,19,6457.170097270001,4,1,1,411,6,Cant lose them
67,1989,8,3608.4800569200006,3,2,2,322,7,Customers Needing Attention
68,2300,9,3878.62004466,4,2,2,422,8,Promising
69,1902,14,2244.01999675,2,2,3,223,7,Customers Needing Attention
70,1898,18,8513.780109110001,2,1,1,211,4,Lost
71,2330,19,6541.3500308699995,4,1,1,411,6,Cant lose them
72,1956,21,8068.0500756599995,3,1,1,311,5,At Risk
73,2465,13,6260.310092819999,4,2,1,421,7,Customers Needing Attention
74,1924,18,8436.25002327,2,1,1,211,4,Lost
75,1963,9,5368.85006726,3,2,2,322,7,Customers Needing Attention
76,2189,17,7848.53005982,4,1,1,411,6,Cant lose them
77,1986,15,6935.0901431699995,3,2,1,321,6,Cant lose them
78,2292,2,636.3000182,4,3,3,433,10,Loyal Customers
79,2129,18,7662.76011664,4,1,1,411,6,Cant lose them
80,1989,11,4359.91999436,3,2,2,322,7,Customers Needing Attention
81,2215,2,392.77001192,4,3,3,433,10,Loyal Customers
82,2180,15,5062.3200382899995,4,2,2,422,8,Promising
83,2139,16,6873.2700425,4,1,1,411,6,Cant lose them
84,1889,13,4757.850001899999,2,2,2,222,6,Cant lose them
85,2165,10,4148.21000702,4,2,2,422,8,Promising
86,2172,9,2498.9000433399997,4,2,3,423,9,Recent Customers
87,2613,12,4597.07000772,4,2,2,422,8,Promising
88,1972,16,4165.41996368,3,1,2,312,6,Cant lose them
89,2297,9,2925.52000799,4,2,2,422,8,Promising
90,2070,16,6359.53002167,3,1,1,311,5,At Risk
91,2125,17,6141.610030989999,4,1,1,411,6,Cant lose them
92,2014,16,7351.769867309999,3,1,1,311,5,At Risk
93,2182,12,2317.32001904,4,2,3,423,9,Recent Customers
94,1914,16,4377.24001325,2,1,2,212,5,At Risk
95,2066,20,5688.25009175,3,1,2,312,6,Cant lose them
96,1897,12,5093.18003878,2,2,2,222,6,Cant lose them
97,2012,11,4177.729992109999,3,2,2,322,7,Customers Needing Attention
98,1923,23,11276.800036789999,2,1,1,211,4,Lost
99,1922,17,4773.38003172,2,1,2,212,5,At Risk
100,1951,19,9591.24008901,3,1,1,311,5,At Risk
101,2130,8,2769.1700590399996,4,2,2,422,8,Promising
102,2045,16,9104.690162710001,3,1,1,311,5,At Risk
103,2102,15,4795.980053039999,4,2,2,422,8,Promising
104,2890,2,562.460022,4,3,3,433,10,Loyal Customers
105,2357,7,1848.92003255,4,3,3,433,10,Loyal Customers
106,2146,8,3676.9799954,4,2,2,422,8,Promising
107,2127,11,3799.25003772,4,2,2,422,8,Promising
108,1975,11,4091.01010856,3,2,2,322,7,Customers Needing Attention
109,2063,21,10881.06999585,3,1,1,311,5,At Risk
110,2114,11,5168.16007196,4,2,2,422,8,Promising
111,2014,7,4501.36005785,3,3,2,332,8,Promising
112,2009,15,6014.06009278,3,2,1,321,6,Cant lose them
113,1953,9,3814.43997222,3,2,2,322,7,Customers Needing Attention
114,2401,12,8432.090162090002,4,2,1,421,7,Customers Needing Attention
115,2005,4,1331.4600221,3,3,3,333,9,Recent Customers
116,2680,3,1154.9999845,4,3,3,433,10,Loyal Customers
117,2137,4,1183.1800384800001,4,3,3,433,10,Loyal Customers
118,2037,15,7423.410045760001,3,2,1,321,6,Cant lose them
119,2506,18,5318.530071390001,4,1,2,412,7,Customers Needing Attention
120,2133,14,4855.92996257,4,2,2,422,8,Promising
121,2337,5,1557.60000988,4,3,3,433,10,Loyal Customers
122,2401,11,3116.76996224,4,2,2,422,8,Promising
123,2016,33,9169.60012446,3,1,1,311,5,At Risk
124,1916,17,5568.89001856,2,1,2,212,5,At Risk
125,2105,11,6001.24996954,4,2,2,422,8,Promising
126,1993,13,6176.55000325,3,2,1,321,6,Cant lose them
127,2464,9,3868.34003438,4,2,2,422,8,Promising
128,2347,2,1318.5400240000001,4,3,3,433,10,Loyal Customers
129,1933,11,8060.55013644,3,2,1,321,6,Cant lose them
130,1889,4,1413.5300102800002,2,3,3,233,8,Promising
131,2021,11,4538.08997343,3,2,2,322,7,Customers Needing Attention
132,2452,8,2280.28003675,4,2,3,423,9,Recent Customers
133,1901,12,3641.3499562899997,2,2,2,222,6,Cant lose them
134,1927,12,5782.55000525,3,2,2,322,7,Customers Needing Attention
135,2367,1,299.980011,4,4,3,443,11,Champions
136,2210,9,2883.1800439500003,4,2,2,422,8,Promising
137,2167,17,5475.100036899999,4,1,2,412,7,Customers Needing Attention
138,2051,12,3954.69004426,3,2,2,322,7,Customers Needing Attention
139,2022,17,6169.3700218799995,3,1,1,311,5,At Risk
140,1953,22,8323.21009816,3,1,1,311,5,At Risk
141,2212,20,5940.0300713199995,4,1,2,412,7,Customers Needing Attention
142,2004,23,9757.36004663,3,1,1,311,5,At Risk
143,1965,3,1103.1899720000001,3,3,3,333,9,Recent Customers
144,1899,6,951.3500061,2,3,3,233,8,Promising
145,1988,15,5097.959983749999,3,2,2,322,7,Customers Needing Attention
146,1921,13,5752.059932940001,2,2,2,222,6,Cant lose them
147,2562,1,1187.0500185,4,4,3,443,11,Champions
148,1999,9,3818.6600035,3,2,2,322,7,Customers Needing Attention
149,2428,14,6560.3601111399985,4,2,1,421,7,Customers Needing Attention
150,2205,14,4325.610000799999,4,2,2,422,8,Promising
151,2120,12,3366.5500185400006,4,2,2,422,8,Promising
152,2189,7,5090.3000337,4,3,2,432,9,Recent Customers
153,1899,6,2199.82002638,2,3,3,233,8,Promising
154,2151,30,16482.050274100002,4,1,1,411,6,Cant lose them
155,1949,13,6117.109989320001,3,2,1,321,6,Cant lose them
156,2190,8,2968.37004866,4,2,2,422,8,Promising
157,2024,13,3330.4800375600003,3,2,2,322,7,Customers Needing Attention
158,2564,5,1918.41997505,4,3,3,433,10,Loyal Customers
159,1902,8,2579.14001561,2,2,2,222,6,Cant lose them
160,2057,11,3923.5800704400003,3,2,2,322,7,Customers Needing Attention
161,2139,17,5536.91997491,4,1,2,412,7,Customers Needing Attention
162,2321,8,4470.00001938,4,2,2,422,8,Promising
163,2542,3,2377.4600223,4,3,3,433,10,Loyal Customers
164,1993,13,4211.10999332,3,2,2,322,7,Customers Needing Attention
165,2199,18,8080.130027969999,4,1,1,411,6,Cant lose them
166,2469,6,1511.75999043,4,3,3,433,10,Loyal Customers
167,2524,2,293.8800049,4,3,3,433,10,Loyal Customers
168,1898,15,8470.60011316,2,2,1,221,5,At Risk
169,2192,11,2837.67002106,4,2,2,422,8,Promising
170,2030,12,3300.25000363,3,2,2,322,7,Customers Needing Attention
171,2024,8,2660.2800065399997,3,2,2,322,7,Customers Needing Attention
172,1963,32,16951.779995340003,3,1,1,311,5,At Risk
173,1946,31,11369.380086780002,3,1,1,311,5,At Risk
174,1939,28,9294.23015578,3,1,1,311,5,At Risk
175,1971,19,9445.200115259999,3,1,1,311,5,At Risk
176,2312,12,8390.40003158,4,2,1,421,7,Customers Needing Attention
177,1967,2,588.9700164999999,3,3,3,333,9,Recent Customers
179,1953,7,5272.0800020199995,3,3,2,332,8,Promising
180,2035,16,7545.85997392,3,1,1,311,5,At Risk
181,2018,22,8117.32993821,3,1,1,311,5,At Risk
182,1896,19,8369.01994682,2,1,1,211,4,Lost
183,2619,5,1859.1000059799999,4,3,3,433,10,Loyal Customers
184,2135,11,5768.5800172399995,4,2,2,422,8,Promising
185,1956,10,4663.35996635,3,2,2,322,7,Customers Needing Attention
186,2207,8,1900.19002531,4,2,3,423,9,Recent Customers
187,1926,24,9952.550224139999,3,1,1,311,5,At Risk
188,1992,14,6587.819988280001,3,2,1,321,6,Cant lose them
189,2089,8,4711.5800475,4,2,2,422,8,Promising
190,1927,20,9139.94013968,3,1,1,311,5,At Risk
191,1901,18,7877.980026439999,2,1,1,211,4,Lost
192,1968,25,10273.530076849998,3,1,1,311,5,At Risk
193,2265,6,2077.55999742,4,3,3,433,10,Loyal Customers
194,1922,26,15004.88005848,2,1,1,211,4,Lost
195,2506,6,2280.2200165,4,3,3,433,10,Loyal Customers
196,2098,16,7544.84999326,4,1,1,411,6,Cant lose them
197,1888,33,9913.760047799999,2,1,1,211,4,Lost
198,2204,13,3848.0100402400003,4,2,2,422,8,Promising
199,2092,17,6649.40001692,4,1,1,411,6,Cant lose them
200,1924,7,4520.94995122,2,3,2,232,7,Customers Needing Attention
201,2063,2,338.74000549,3,3,3,333,9,Recent Customers
202,1907,12,5141.600028780001,2,2,2,222,6,Cant lose them
203,1955,23,7189.26003278,3,1,1,311,5,At Risk
204,1930,13,4039.9400288800007,3,2,2,322,7,Customers Needing Attention
205,2079,19,6856.310121189999,4,1,1,411,6,Cant lose them
206,1960,16,7078.560040279999,3,1,1,311,5,At Risk
207,1956,24,11203.39994392,3,1,1,311,5,At Risk
208,2299,7,1873.48002624,4,3,3,433,10,Loyal Customers
209,1988,16,7273.5300331,3,1,1,311,5,At Risk
210,2097,20,7832.19000338,4,1,1,411,6,Cant lose them
211,1953,7,2859.7300298,3,3,2,332,8,Promising
212,1930,7,2115.54001811,3,3,3,333,9,Recent Customers
213,2008,16,7382.71996686,3,1,1,311,5,At Risk
214,2133,23,6126.4199745000005,4,1,1,411,6,Cant lose them
215,2055,19,6014.970119449999,3,1,1,311,5,At Risk
216,2048,11,5671.3100397299995,3,2,2,322,7,Customers Needing Attention
217,2129,14,5169.7100487,4,2,2,422,8,Promising
218,1910,13,4553.0700149799995,2,2,2,222,6,Cant lose them
220,2104,9,1783.92003228,4,2,3,423,9,Recent Customers
221,1890,34,16067.9601406,2,1,1,211,4,Lost
222,2229,23,6850.800115739999,4,1,1,411,6,Cant lose them
223,1890,18,7571.300048900001,2,1,1,211,4,Lost
224,1952,22,9373.30009873,3,1,1,311,5,At Risk
225,2465,18,9456.780174180001,4,1,1,411,6,Cant lose them
226,2031,13,5290.6599808,3,2,2,322,7,Customers Needing Attention
227,2069,8,2904.3200568400007,3,2,2,322,7,Customers Needing Attention
228,1889,17,6713.92003968,2,1,1,211,4,Lost
229,1903,15,8859.870174399999,2,2,1,221,5,At Risk
230,1991,25,13947.30006487,3,1,1,311,5,At Risk
231,2320,10,4309.83997724,4,2,2,422,8,Promising
232,1920,12,7035.73003783,2,2,1,221,5,At Risk
233,1936,15,6423.759952739998,3,2,1,321,6,Cant lose them
234,2082,11,3659.5900134300005,4,2,2,422,8,Promising
235,2038,13,8151.050136359999,3,2,1,321,6,Cant lose them
236,2120,15,9559.670028790002,4,2,1,421,7,Customers Needing Attention
237,2536,4,2760.6399690999997,4,3,2,432,9,Recent Customers
238,2061,27,14401.06008007,3,1,1,311,5,At Risk
239,2339,11,1844.03002164,4,2,3,423,9,Recent Customers
240,2276,7,1126.74999995,4,3,3,433,10,Loyal Customers
241,1888,26,11250.059982640001,2,1,1,211,4,Lost
242,1935,18,7273.7201082599995,3,1,1,311,5,At Risk
243,2001,14,5680.0000001299995,3,2,2,322,7,Customers Needing Attention
244,2597,13,7364.7901,4,2,1,421,7,Customers Needing Attention
245,2268,25,10678.63001437,4,1,1,411,6,Cant lose them
246,2509,8,2803.8300704000003,4,2,2,422,8,Promising
247,2146,21,8310.820114319999,4,1,1,411,6,Cant lose them
248,1965,14,6353.27999122,3,2,1,321,6,Cant lose them
249,1921,9,4854.9700163,2,2,2,222,6,Cant lose them
250,1907,9,2739.9600218,2,2,2,222,6,Cant lose them
251,2188,9,3569.1799814399997,4,2,2,422,8,Promising
252,2069,21,9250.210161089999,3,1,1,311,5,At Risk
253,2187,2,1048.78998963,4,3,3,433,10,Loyal Customers
254,1897,23,8891.45015678,2,1,1,211,4,Lost
255,2435,16,9270.110031200002,4,1,1,411,6,Cant lose them
256,2119,22,10317.229988,4,1,1,411,6,Cant lose them
257,2006,17,9288.89000754,3,1,1,311,5,At Risk
258,2100,17,8993.60010911,4,1,1,411,6,Cant lose them
259,1954,25,8738.840053479998,3,1,1,311,5,At Risk
260,1892,13,5588.160110389999,2,2,2,222,6,Cant lose them
261,2145,7,5313.060012999999,4,3,2,432,9,Recent Customers
262,2039,13,2927.5900002999997,3,2,2,322,7,Customers Needing Attention
263,2122,3,872.61003114,4,3,3,433,10,Loyal Customers
264,2281,10,4877.400131219999,4,2,2,422,8,Promising
265,1992,7,1453.57001884,3,3,3,333,9,Recent Customers
266,2039,17,5391.97000454,3,1,2,312,6,Cant lose them
267,1901,10,2492.37998202,2,2,3,223,7,Customers Needing Attention
268,2016,10,2639.56999755,3,2,2,322,7,Customers Needing Attention
269,2762,5,2229.43000036,4,3,3,433,10,Loyal Customers
270,1952,17,5993.990097059999,3,1,2,312,6,Cant lose them
271,2280,14,5335.810020379999,4,2,2,422,8,Promising
272,1890,25,7757.990038962001,2,1,1,211,4,Lost
273,2170,11,3421.4200820199994,4,2,2,422,8,Promising
274,2044,8,3637.30001442,3,2,2,322,7,Customers Needing Attention
275,1956,16,5822.849991,3,1,2,312,6,Cant lose them
276,1924,20,5809.95005827,2,1,2,212,5,At Risk
277,1941,18,4828.75003804,3,1,2,312,6,Cant lose them
278,2767,4,1034.2900046799998,4,3,3,433,10,Loyal Customers
279,1917,9,2876.15001115,2,2,2,222,6,Cant lose them
280,1976,11,9743.47991249,3,2,1,321,6,Cant lose them
281,2184,8,2696.96998204,4,2,2,422,8,Promising
282,1908,12,2931.89996727,2,2,2,222,6,Cant lose them
283,1888,17,9530.58002068,2,1,1,211,4,Lost
284,1913,12,7064.690033,2,2,1,221,5,At Risk
285,1900,21,8318.420112259999,2,1,1,211,4,Lost
286,1978,19,9435.77006184,3,1,1,311,5,At Risk
287,2252,15,4517.030036789999,4,2,2,422,8,Promising
288,2095,16,8070.97000464,4,1,1,411,6,Cant lose them
289,2280,21,8193.35007134,4,1,1,411,6,Cant lose them
290,1907,26,8592.150106870002,2,1,1,211,4,Lost
291,1966,22,9088.900161779999,3,1,1,311,5,At Risk
292,2060,5,2784.8000563200003,3,3,2,332,8,Promising
293,2111,10,5082.58008539,4,2,2,422,8,Promising
294,1905,12,3360.6000137,2,2,2,222,6,Cant lose them
295,1961,6,2302.83005903,3,3,3,333,9,Recent Customers
296,2231,23,9772.01994136,4,1,1,411,6,Cant lose them
297,1961,17,7906.73009833,3,1,1,311,5,At Risk
298,1972,5,2215.40007014,3,3,3,333,9,Recent Customers
299,2047,5,1871.82000329,3,3,3,333,9,Recent Customers
300,1901,19,7086.54009246,2,1,1,211,4,Lost
301,1914,7,3428.1200105,2,3,2,232,7,Customers Needing Attention
302,2825,1,695.7199708,4,4,3,443,11,Champions
303,2161,11,6922.510024879999,4,2,1,421,7,Customers Needing Attention
304,2353,8,2897.8199771,4,2,2,422,8,Promising
305,1996,15,4854.070083840001,3,2,2,322,7,Customers Needing Attention
306,2637,9,4342.75995636,4,2,2,422,8,Promising
307,2631,7,3048.31001684,4,3,2,432,9,Recent Customers
308,1952,24,9419.39996772,3,1,1,311,5,At Risk
309,1963,8,2503.6200142899997,3,2,3,323,8,Promising
310,2096,9,4205.6199804200005,4,2,2,422,8,Promising
311,2004,15,5769.140077489999,3,2,2,322,7,Customers Needing Attention
312,1966,14,6803.62009627,3,2,1,321,6,Cant lose them
313,2031,11,3430.18001554,3,2,2,322,7,Customers Needing Attention
314,1923,19,8665.899956,2,1,1,211,4,Lost
315,2150,15,5454.3299483,4,2,2,422,8,Promising
316,1980,15,5406.01011107,3,2,2,322,7,Customers Needing Attention
317,2299,14,6881.17004784,4,2,1,421,7,Customers Needing Attention
318,1939,15,8599.7600252,3,2,1,321,6,Cant lose them
319,2036,17,7694.930068839999,3,1,1,311,5,At Risk
320,2451,13,5204.61996303,4,2,2,422,8,Promising
321,1904,22,7347.37003374,2,1,1,211,4,Lost
322,2034,4,921.00002292,3,3,3,333,9,Recent Customers
323,1908,8,3567.9199905800006,2,2,2,222,6,Cant lose them
324,2213,15,6478.4700392999985,4,2,1,421,7,Customers Needing Attention
325,1905,9,3310.4100189600003,2,2,2,222,6,Cant lose them
326,1932,25,7358.84006509,3,1,1,311,5,At Risk
327,1964,18,8742.089988939999,3,1,1,311,5,At Risk
328,2063,20,6656.650030409999,3,1,1,311,5,At Risk
329,2015,26,10452.020130109999,3,1,1,311,5,At Risk
330,1997,13,4343.659980910001,3,2,2,322,7,Customers Needing Attention
331,1905,20,5951.35007117,2,1,2,212,5,At Risk
332,1956,12,3370.6199758500006,3,2,2,322,7,Customers Needing Attention
333,1955,9,3747.54005842,3,2,2,322,7,Customers Needing Attention
334,1892,14,3974.2299651400003,2,2,2,222,6,Cant lose them
335,1985,28,8698.780101710001,3,1,1,311,5,At Risk
336,1940,20,5312.58004363,3,1,2,312,6,Cant lose them
337,1957,10,4208.88005832,3,2,2,322,7,Customers Needing Attention
338,1895,9,5266.5701067,2,2,2,222,6,Cant lose them
340,2394,6,2243.8200075600002,4,3,3,433,10,Loyal Customers
341,1921,37,17314.460079359997,2,1,1,211,4,Lost
342,1951,21,7833.500114239999,3,1,1,311,5,At Risk
343,1986,17,9423.510188740001,3,1,1,311,5,At Risk
344,1991,12,3658.6200102000003,3,2,2,322,7,Customers Needing Attention
345,2158,13,6691.66012556,4,2,1,421,7,Customers Needing Attention
346,2199,7,3764.70003506,4,3,2,432,9,Recent Customers
347,1990,12,6071.55012506,3,2,1,321,6,Cant lose them
348,2146,13,6286.20001654,4,2,1,421,7,Customers Needing Attention
349,2277,12,4909.3701094,4,2,2,422,8,Promising
350,2200,10,5411.819927460001,4,2,2,422,8,Promising
351,1900,24,7944.470008800001,2,1,1,211,4,Lost
352,2089,14,4302.7500154399995,4,2,2,422,8,Promising
353,1923,14,4003.22000906,2,2,2,222,6,Cant lose them
354,1926,25,11053.72009619,3,1,1,311,5,At Risk
355,2041,8,6533.770011799999,3,2,1,321,6,Cant lose them
356,1920,17,9222.95001274,2,1,1,211,4,Lost
357,2249,14,4832.37998982,4,2,2,422,8,Promising
358,1894,13,4997.250030719999,2,2,2,222,6,Cant lose them
359,1911,18,9409.219917749999,2,1,1,211,4,Lost
361,1937,16,3539.68004995,3,1,2,312,6,Cant lose them
362,2605,5,993.42001724,4,3,3,433,10,Loyal Customers
363,1899,17,6480.769977710001,2,1,1,211,4,Lost
364,1931,27,9635.88013246,3,1,1,311,5,At Risk
365,2396,6,2338.1599921800002,4,3,3,433,10,Loyal Customers
366,2266,16,6796.91007928,4,1,1,411,6,Cant lose them
367,2216,5,3057.3500518,4,3,2,432,9,Recent Customers
368,1889,20,6522.270031079999,2,1,1,211,4,Lost
369,2019,18,6290.4999850799995,3,1,1,311,5,At Risk
370,1951,13,4522.15000907,3,2,2,322,7,Customers Needing Attention
371,1887,18,9967.6200636,2,1,1,211,4,Lost
372,1984,7,3406.52000406,3,3,2,332,8,Promising
373,1937,25,9607.46009771,3,1,1,311,5,At Risk
374,1975,16,6693.26003782,3,1,1,311,5,At Risk
375,2098,15,5742.21009087,4,2,2,422,8,Promising
376,1950,26,8614.48004862,3,1,1,311,5,At Risk
377,2159,23,8018.92004791,4,1,1,411,6,Cant lose them
378,1892,11,6119.100120300001,2,2,1,221,5,At Risk
379,1972,16,6617.10992447,3,1,1,311,5,At Risk
380,2570,12,3991.58001139,4,2,2,422,8,Promising
381,2176,11,3178.7200167200003,4,2,2,422,8,Promising
382,1888,13,8260.43995685,2,2,1,221,5,At Risk
383,2081,23,9937.370002810001,4,1,1,411,6,Cant lose them
384,1903,19,6579.6800802200005,2,1,1,211,4,Lost
385,2559,5,2650.4300232000005,4,3,2,432,9,Recent Customers
386,2279,8,1774.31000914,4,2,3,423,9,Recent Customers
387,2053,21,7811.59009132,3,1,1,311,5,At Risk
388,2189,23,8375.61017382,4,1,1,411,6,Cant lose them
389,2090,7,2348.4399909599997,4,3,3,433,10,Loyal Customers
390,2032,17,6694.980041209999,3,1,1,311,5,At Risk
391,2158,19,10370.83008594,4,1,1,411,6,Cant lose them
392,2069,10,2253.68998314,3,2,3,323,8,Promising
393,2248,11,3130.9199791500005,4,2,2,422,8,Promising
394,1936,20,10344.5298691,3,1,1,311,5,At Risk
395,1953,3,503.61998751000004,3,3,3,333,9,Recent Customers
396,2144,25,10619.07997167,4,1,1,411,6,Cant lose them
397,2282,14,3884.9600143000002,4,2,2,422,8,Promising
398,2004,13,6150.839958420001,3,2,1,321,6,Cant lose them
399,2083,4,2400.8799591,4,3,3,433,10,Loyal Customers
400,1988,16,6645.169984509999,3,1,1,311,5,At Risk
401,2439,4,645.07999426,4,3,3,433,10,Loyal Customers
402,2337,6,2894.31001664,4,3,2,432,9,Recent Customers
403,1886,10,2759.53004644,2,2,2,222,6,Cant lose them
404,1974,18,4425.450018040001,3,1,2,312,6,Cant lose them
405,2081,7,5104.06999624,4,3,2,432,9,Recent Customers
406,2009,13,5146.07003016,3,2,2,322,7,Customers Needing Attention
407,2036,15,8917.890117399998,3,2,1,321,6,Cant lose them
408,2265,25,9530.40003195,4,1,1,411,6,Cant lose them
409,2067,16,6982.1399688599995,3,1,1,311,5,At Risk
410,1904,20,9839.41007215,2,1,1,211,4,Lost
411,2016,12,8798.530052279999,3,2,1,321,6,Cant lose them
412,1911,9,3851.80996691,2,2,2,222,6,Cant lose them
413,2719,3,1143.1199949,4,3,3,433,10,Loyal Customers
415,2117,13,7544.420006259999,4,2,1,421,7,Customers Needing Attention
416,2339,14,6307.2899707,4,2,1,421,7,Customers Needing Attention
417,2099,6,962.00999644,4,3,3,433,10,Loyal Customers
418,1971,9,3543.8900222800003,3,2,2,322,7,Customers Needing Attention
419,1890,16,4556.36007286,2,1,2,212,5,At Risk
420,2045,16,7322.56008956,3,1,1,311,5,At Risk
421,2218,8,4950.71003336,4,2,2,422,8,Promising
422,1986,11,5060.60009,3,2,2,322,7,Customers Needing Attention
423,2742,8,4236.4799725,4,2,2,422,8,Promising
424,1936,22,8652.54011531,3,1,1,311,5,At Risk
425,2043,18,7579.48005278,3,1,1,311,5,At Risk
426,1898,11,4639.43998318,2,2,2,222,6,Cant lose them
427,2239,12,6226.74995454,4,2,1,421,7,Customers Needing Attention
428,2042,10,5335.979961679999,3,2,2,322,7,Customers Needing Attention
429,1941,12,7188.99010853,3,2,1,321,6,Cant lose them
430,1987,26,9271.75013874,3,1,1,311,5,At Risk
431,2389,9,2409.5700588,4,2,3,423,9,Recent Customers
432,2182,7,2717.2000048,4,3,2,432,9,Recent Customers
433,1941,23,11609.8900145,3,1,1,311,5,At Risk
434,2007,23,9156.50008595,3,1,1,311,5,At Risk
435,1986,17,7239.0500641,3,1,1,311,5,At Risk
436,2168,22,10683.020072939998,4,1,1,411,6,Cant lose them
437,2070,33,12533.9500659,3,1,1,311,5,At Risk
438,2140,15,9262.57997569,4,2,1,421,7,Customers Needing Attention
439,2273,25,6351.67006513,4,1,1,411,6,Cant lose them
440,2160,17,7570.89004753,4,1,1,411,6,Cant lose them
441,1902,14,5643.33004392,2,2,2,222,6,Cant lose them
442,1956,21,9814.01991709,3,1,1,311,5,At Risk
443,1887,20,7466.720043119999,2,1,1,211,4,Lost
444,2067,18,7234.44002896,3,1,1,311,5,At Risk
445,2015,17,7036.9301067999995,3,1,1,311,5,At Risk
446,2074,12,3274.06002414,4,2,2,422,8,Promising
447,1912,13,7646.1600346999985,2,2,1,221,5,At Risk
448,1916,4,1092.9699555900002,2,3,3,233,8,Promising
449,2020,11,5245.22003192,3,2,2,322,7,Customers Needing Attention
450,1902,37,13989.610046599999,2,1,1,211,4,Lost
451,2465,6,4872.03005198,4,3,2,432,9,Recent Customers
452,1983,25,11632.060016840001,3,1,1,311,5,At Risk
453,2109,17,5625.559997299999,4,1,2,412,7,Customers Needing Attention
